coordinate,u_hdx4,v_hdx4,u_hdx3.5,v_hdx3.5,u_hdx3,v_hdx3,u_hdx2.5,v_hdx2.5,u_hdx2,v_hdx2
-0.50000,-0.002710,0.005576,-0.002634,0.005446,-0.002639,0.005382,-0.002762,0.005656,-0.015816,0.003359
-0.49500,-0.003761,0.007762,-0.003723,0.007726,-0.003785,0.007751,-0.003930,0.008013,-0.035718,0.003922
-0.49000,-0.004751,0.009829,-0.004725,0.009830,-0.004800,0.009867,-0.004894,0.010001,-0.031998,0.001939
-0.48500,-0.005631,0.011673,-0.005606,0.011690,-0.005693,0.011741,-0.005746,0.011802,0.036455,-0.003229
-0.48000,-0.006398,0.013286,-0.006374,0.013319,-0.006478,0.013379,-0.006485,0.013362,0.067285,-0.003490
-0.47500,-0.007062,0.014684,-0.007040,0.014734,-0.007151,0.014793,-0.007112,0.014716,0.021153,0.000527
-0.47000,-0.007632,0.015881,-0.007612,0.015944,-0.007720,0.015997,-0.007640,0.015854,0.012667,0.002821
-0.46500,-0.008120,0.016894,-0.008103,0.016967,-0.008209,0.017021,-0.008106,0.016823,0.014416,0.001650
-0.46000,-0.008535,0.017740,-0.008521,0.017818,-0.008624,0.017874,-0.008494,0.017648,0.013786,0.000800
-0.45500,-0.008884,0.018438,-0.008875,0.018517,-0.008972,0.018575,-0.008809,0.018341,0.019575,0.000501
-0.45000,-0.009178,0.019007,-0.009173,0.019082,-0.009261,0.019139,-0.009070,0.018895,0.021934,0.001282
-0.44500,-0.009424,0.019459,-0.009423,0.019531,-0.009505,0.019588,-0.009292,0.019328,0.023797,0.001374
-0.44000,-0.009631,0.019812,-0.009632,0.019878,-0.009709,0.019939,-0.009473,0.019651,0.031265,0.000422
-0.43500,-0.009803,0.020080,-0.009808,0.020141,-0.009878,0.020204,-0.009627,0.019889,0.029406,-0.002563
-0.43000,-0.009948,0.020277,-0.009955,0.020333,-0.010019,0.020395,-0.009754,0.020067,0.011571,0.006756
-0.42500,-0.010070,0.020414,-0.010079,0.020465,-0.010138,0.020527,-0.009863,0.020182,0.005514,0.016624
-0.42000,-0.010174,0.020505,-0.010185,0.020548,-0.010239,0.020615,-0.009956,0.020249,0.004848,0.020048
-0.41500,-0.010265,0.020556,-0.010278,0.020591,-0.010326,0.020667,-0.010036,0.020278,0.006491,0.018379
-0.41000,-0.010345,0.020576,-0.010360,0.020602,-0.010405,0.020688,-0.010107,0.020279,0.025010,0.011368
-0.40500,-0.010418,0.020571,-0.010435,0.020587,-0.010476,0.020682,-0.010172,0.020256,0.032570,0.005140
-0.40000,-0.010486,0.020544,-0.010504,0.020554,-0.010542,0.020653,-0.010235,0.020215,0.017066,0.005581
-0.39500,-0.010550,0.020498,-0.010570,0.020508,-0.010605,0.020606,-0.010295,0.020161,0.007734,0.007869
-0.39000,-0.010613,0.020436,-0.010633,0.020452,-0.010667,0.020542,-0.010355,0.020094,0.002862,0.007939
-0.38500,-0.010674,0.020361,-0.010696,0.020385,-0.010729,0.020462,-0.010414,0.020017,0.000823,0.006631
-0.38000,-0.010737,0.020274,-0.010758,0.020307,-0.010790,0.020366,-0.010476,0.019935,-0.000194,0.003422
-0.37500,-0.010800,0.020178,-0.010820,0.020219,-0.010852,0.020261,-0.010541,0.019840,-0.001311,0.000931
-0.37000,-0.010864,0.020075,-0.010884,0.020121,-0.010917,0.020153,-0.010607,0.019733,-0.001974,-0.005103
