timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/24 17:21:47.522, 0, 375 MHz, 405 MHz, 26.83 W, 48, 0 %, 3218 MiB
2026/09/24 17:21:47.524, 1, 28 MHz, 405 MHz, 4.40 W, 42, 0 %, 18 MiB
2026/09/24 17:21:48.530, 0, 43 MHz, 405 MHz, 29.83 W, 48, 1 %, 3218 MiB
2026/09/24 17:21:48.530, 1, 28 MHz, 405 MHz, 4.83 W, 42, 0 %, 18 MiB
2026/09/24 17:21:49.537, 0, 48 MHz, 405 MHz, 29.33 W, 48, 1 %, 3218 MiB
2026/09/24 17:21:49.537, 1, 675 MHz, 14001 MHz, 74.98 W, 58, 0 %, 470 MiB
2026/09/24 17:21:50.542, 0, 43 MHz, 405 MHz, 28.81 W, 48, 1 %, 3218 MiB
2026/09/24 17:21:50.542, 1, 2865 MHz, 14001 MHz, 602.69 W, 63, 98 %, 470 MiB
2026/09/24 17:21:51.543, 0, 390 MHz, 405 MHz, 32.47 W, 48, 1 %, 3218 MiB
2026/09/24 17:21:51.543, 1, 2850 MHz, 14001 MHz, 600.71 W, 63, 99 %, 470 MiB
2026/09/24 17:21:52.549, 0, 397 MHz, 405 MHz, 32.49 W, 48, 1 %, 3218 MiB
2026/09/24 17:21:52.549, 1, 2842 MHz, 14001 MHz, 600.30 W, 63, 99 %, 470 MiB
2026/09/24 17:21:53.553, 0, 46 MHz, 405 MHz, 33.15 W, 48, 1 %, 3218 MiB
2026/09/24 17:21:53.553, 1, 2842 MHz, 14001 MHz, 599.93 W, 64, 99 %, 470 MiB
2026/09/24 17:21:54.556, 0, 52 MHz, 405 MHz, 31.50 W, 48, 1 %, 3218 MiB
2026/09/24 17:21:54.556, 1, 2842 MHz, 14001 MHz, 600.13 W, 65, 99 %, 470 MiB
2026/09/24 17:21:55.561, 0, 300 MHz, 405 MHz, 30.37 W, 48, 1 %, 3218 MiB
2026/09/24 17:21:55.561, 1, 2842 MHz, 14001 MHz, 600.04 W, 64, 98 %, 470 MiB
2026/09/24 17:21:56.575, 0, 322 MHz, 405 MHz, 30.44 W, 48, 0 %, 3218 MiB
2026/09/24 17:21:56.575, 1, 2835 MHz, 14001 MHz, 599.88 W, 65, 99 %, 470 MiB
2026/09/24 17:21:57.581, 0, 49 MHz, 405 MHz, 33.20 W, 48, 0 %, 3218 MiB
2026/09/24 17:21:57.581, 1, 2842 MHz, 14001 MHz, 600.06 W, 66, 99 %, 470 MiB
2026/09/24 17:21:58.585, 0, 330 MHz, 405 MHz, 32.24 W, 48, 1 %, 3218 MiB
2026/09/24 17:21:58.585, 1, 2835 MHz, 14001 MHz, 600.33 W, 66, 99 %, 470 MiB
