== band_lbl
kernel                            Mcycles    sm_thr% warps_act%   thr/inst    l1_hit%    l2_hit%      l2_GB  st_l1tex%   st_wait%  st_nosel%
correction_boundary_band             3.92      46.73      42.89      21.96      78.43      88.32      12.18      20.49      11.86       1.89
correction_interior                 58.40      81.34      94.76      20.96      76.89      84.52     458.22      38.42      20.70      18.08
density_boundary_band                6.07      47.71      45.83      22.61      76.09      80.64      25.20      21.74      13.92       3.29
density_deep_interior               60.42      80.07      93.92      21.33      78.42      86.15     489.14      40.09      22.86      13.92
force_boundary_band                  8.11      53.56      42.50      19.63      77.68      87.49      24.10      18.65      11.24       3.15
force_deep_interior_scratch         77.51      70.03      62.14      18.11      78.31      80.76     384.64      26.88      15.35       7.17
predict                              1.47       3.66      87.86      31.02      20.27      33.78      27.68      79.29       0.73       0.01
update_voxel                         0.90       1.61      52.38      31.22       4.97      67.29      17.79      51.12       0.64       0.01
== compact_lbl
kernel                            Mcycles    sm_thr% warps_act%   thr/inst    l1_hit%    l2_hit%      l2_GB  st_l1tex%   st_wait%  st_nosel%
band_compact_scan                    0.27       0.62       1.16      31.92      30.97      33.85       0.11       0.80       0.10       0.01
band_compact_scatter                 0.03      11.49      24.91      30.19      42.20      34.44       0.12      16.93       3.24       0.60
correction_boundary_compact          3.04      63.09      69.00      21.04      77.77      92.11      17.94      26.86      16.21      12.45
correction_interior                 58.28      81.32      95.13      21.01      76.95      82.93     450.59      38.99      20.73      17.86
density_boundary_compact             5.40      56.01      63.30      21.66      74.34      86.25      35.68      26.68      16.52      10.55
density_deep_interior               60.35      79.91      94.13      21.40      78.56      84.63     479.40      40.43      22.85      13.83
force_boundary_compact               6.97      66.18      56.46      18.48      78.38      90.56      31.92      22.51      14.57       7.22
force_deep_interior_scratch         77.65      69.65      62.13      18.18      78.27      79.20     379.86      27.14      15.28       7.03
predict                              1.46       3.68      88.23      31.07      20.13      33.68      27.79      79.64       0.69       0.01
update_voxel                         0.91       1.59      52.24      31.24       4.65      67.58      17.81      51.00       0.63       0.01
