size,solver,in_flight,particles,n,fps_mean,fps_std,fps_min,fps_max,us_per_step_mean,mparticle_steps_per_s,sm_mhz,power_w,temp_c,drift_max_abs
1m,v0,1,1046529,3,519.0021333333333,4.261732270255076,514.0857,521.6444,1926.8613333333333,543.1507835952,2813.8947368421054,599.9296491228071,69.33333333333333,0
1m,v0,2,1046529,3,546.2407333333334,1.0672774256646627,545.6186,547.4731,1830.6993666666667,571.6567684146002,2784.796296296296,599.9951851851852,69.66666666666667,0
1m,v5,1,1046529,3,504.98376666666667,0.30301500512900387,504.6601,505.2607,1980.2622000000001,528.4801563459,2809.122807017544,600.0245614035088,69.66666666666667,0
1m,v5,2,1046529,3,528.5112333333333,0.12711165695299426,528.4077,528.6531,1892.1073666666668,553.1023325090999,2782.6481481481483,599.9966666666667,69.66666666666667,0
2m,v0,1,2064969,3,267.07436666666666,0.14204018210820885,266.9665,267.2353,3744.2761666666665,551.5002878613,2755.257575757576,600.0228787878788,69.0,0
2m,v0,2,2064969,3,274.20056666666665,0.2889912859124462,273.9692,274.5245,3646.9676,566.2156699491,2729.632034632035,599.9584848484849,69.0,0
2m,v5,1,2064969,3,259.01413333333335,0.4525346542899461,258.5584,259.4634,3860.800966666667,534.8561558952,2760.1159420289855,599.9891304347826,69.0,0
2m,v5,2,2064969,3,265.50693333333334,0.27162390051931207,265.1967,265.702,3766.3823333333335,548.2635866183999,2734.637022397892,599.9659025032938,69.0,0
4m,v0,1,4182025,3,129.7508,0.10137312267066344,129.6402,129.8393,7707.086266666666,542.62108937,2734.1383512544803,599.9926379928315,69.66666666666667,0
4m,v0,2,4182025,3,131.67443333333333,0.08734840200789595,131.6107,131.774,7594.492266666667,550.6657720608333,2718.8777777777777,599.9858888888889,69.66666666666667,0
4m,v5,1,4182025,3,124.09226666666666,0.1477102682054757,123.9739,124.2578,8058.5282,518.9569615066666,2740.0,599.9715625,70.0,0
4m,v5,2,4182025,3,126.27826666666668,0.20832247438366763,126.0682,126.4848,7919.032199999999,528.0988681566668,2722.507056451613,599.9470430107527,70.0,0
6m,v0,1,6105841,3,93.05463333333334,0.2316561532386588,92.9031,93.3213,10746.420333333333,568.1767954466334,2729.4583333333335,599.9343749999999,70.33333333333333,0
6m,v0,2,6105841,3,94.5055,0.2947224457010393,94.1929,94.7783,10581.460633333334,577.0355566254999,2718.582325268817,599.9479166666666,70.0,0
6m,v5,1,6105841,3,90.60823333333333,0.1114556563541467,90.4815,90.691,11036.5366,553.2394660242334,2729.878787878788,600.0171717171717,70.33333333333333,0
6m,v5,2,6105841,3,91.31689999999999,0.5161310008127776,90.7273,91.687,10951.109866666666,557.5664720129,2722.450441919192,599.9761521464646,70.0,0
8m,v0,1,8128201,3,69.91183333333333,0.03657558384131871,69.8775,69.9503,14303.7355,568.2574336118333,2726.597701149425,599.9627668308702,70.33333333333333,0
