timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/23 17:34:01.297, 0, 1762 MHz, 810 MHz, 58.15 W, 38, 8 %, 3178 MiB
2026/09/23 17:34:01.300, 1, 28 MHz, 405 MHz, 4.98 W, 43, 0 %, 18 MiB
2026/09/23 17:34:02.312, 0, 1710 MHz, 810 MHz, 54.76 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:02.312, 1, 28 MHz, 405 MHz, 4.66 W, 43, 0 %, 18 MiB
2026/09/23 17:34:03.319, 0, 1815 MHz, 7001 MHz, 55.79 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:03.319, 1, 2857 MHz, 14001 MHz, 279.65 W, 61, 18 %, 396 MiB
2026/09/23 17:34:04.325, 0, 1942 MHz, 7001 MHz, 58.60 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:04.325, 1, 2842 MHz, 14001 MHz, 600.05 W, 63, 92 %, 396 MiB
2026/09/23 17:34:05.340, 0, 1890 MHz, 7001 MHz, 56.32 W, 38, 6 %, 3178 MiB
2026/09/23 17:34:05.340, 1, 2842 MHz, 14001 MHz, 599.01 W, 63, 92 %, 396 MiB
2026/09/23 17:34:06.354, 0, 1882 MHz, 7001 MHz, 56.76 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:06.354, 1, 2835 MHz, 14001 MHz, 600.33 W, 64, 93 %, 396 MiB
2026/09/23 17:34:07.355, 0, 1995 MHz, 7001 MHz, 58.16 W, 38, 10 %, 3178 MiB
2026/09/23 17:34:07.355, 1, 2842 MHz, 14001 MHz, 598.36 W, 65, 91 %, 396 MiB
2026/09/23 17:34:08.371, 0, 1650 MHz, 810 MHz, 55.83 W, 38, 27 %, 3178 MiB
2026/09/23 17:34:08.371, 1, 2835 MHz, 14001 MHz, 601.06 W, 65, 92 %, 396 MiB
2026/09/23 17:34:09.372, 0, 1725 MHz, 810 MHz, 53.12 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:09.372, 1, 2835 MHz, 14001 MHz, 598.82 W, 65, 92 %, 396 MiB
2026/09/23 17:34:10.380, 0, 1845 MHz, 7001 MHz, 55.58 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:10.380, 1, 2827 MHz, 14001 MHz, 599.84 W, 65, 93 %, 396 MiB
2026/09/23 17:34:11.392, 0, 1762 MHz, 7001 MHz, 55.33 W, 38, 8 %, 3178 MiB
2026/09/23 17:34:11.392, 1, 2827 MHz, 14001 MHz, 600.69 W, 66, 93 %, 396 MiB
2026/09/23 17:34:12.393, 0, 1740 MHz, 810 MHz, 54.70 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:12.393, 1, 2827 MHz, 14001 MHz, 600.05 W, 66, 93 %, 396 MiB
2026/09/23 17:34:13.394, 0, 1830 MHz, 7001 MHz, 59.05 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:13.394, 1, 2827 MHz, 14001 MHz, 599.54 W, 67, 92 %, 396 MiB
2026/09/23 17:34:14.408, 0, 1935 MHz, 7001 MHz, 56.66 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:14.408, 1, 2827 MHz, 14001 MHz, 599.99 W, 67, 93 %, 396 MiB
2026/09/23 17:34:15.424, 0, 1725 MHz, 7001 MHz, 55.17 W, 38, 6 %, 3178 MiB
2026/09/23 17:34:15.424, 1, 2827 MHz, 14001 MHz, 600.11 W, 67, 93 %, 396 MiB
2026/09/23 17:34:16.425, 0, 1695 MHz, 7001 MHz, 54.76 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:16.425, 1, 2827 MHz, 14001 MHz, 600.17 W, 67, 93 %, 396 MiB
2026/09/23 17:34:17.436, 0, 1912 MHz, 7001 MHz, 55.59 W, 38, 8 %, 3178 MiB
2026/09/23 17:34:17.436, 1, 2827 MHz, 14001 MHz, 600.17 W, 67, 93 %, 396 MiB
2026/09/23 17:34:18.439, 0, 2055 MHz, 7001 MHz, 58.24 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:18.439, 1, 2820 MHz, 14001 MHz, 599.85 W, 67, 94 %, 396 MiB
2026/09/23 17:34:19.454, 0, 1710 MHz, 7001 MHz, 55.43 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:19.454, 1, 2820 MHz, 14001 MHz, 600.35 W, 68, 93 %, 396 MiB
2026/09/23 17:34:20.462, 0, 1762 MHz, 810 MHz, 54.36 W, 38, 32 %, 3178 MiB
2026/09/23 17:34:20.462, 1, 2820 MHz, 14001 MHz, 599.22 W, 68, 93 %, 396 MiB
2026/09/23 17:34:21.474, 0, 1770 MHz, 810 MHz, 56.37 W, 38, 8 %, 3178 MiB
2026/09/23 17:34:21.474, 1, 2820 MHz, 14001 MHz, 600.07 W, 68, 93 %, 396 MiB
2026/09/23 17:34:22.475, 0, 1852 MHz, 7001 MHz, 57.62 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:22.475, 1, 2820 MHz, 14001 MHz, 599.52 W, 68, 93 %, 396 MiB
2026/09/23 17:34:23.489, 0, 1642 MHz, 7001 MHz, 53.27 W, 38, 30 %, 3178 MiB
2026/09/23 17:34:23.489, 1, 2820 MHz, 14001 MHz, 601.20 W, 68, 93 %, 396 MiB
2026/09/23 17:34:24.493, 0, 1777 MHz, 810 MHz, 54.86 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:24.493, 1, 2820 MHz, 14001 MHz, 500.62 W, 55, 93 %, 18 MiB
2026/09/23 17:34:25.497, 0, 1785 MHz, 810 MHz, 57.38 W, 38, 6 %, 3178 MiB
2026/09/23 17:34:25.497, 1, 2962 MHz, 14001 MHz, 142.21 W, 53, 0 %, 386 MiB
2026/09/23 17:34:26.501, 0, 1680 MHz, 7001 MHz, 53.41 W, 38, 7 %, 3178 MiB
2026/09/23 17:34:26.501, 1, 2812 MHz, 14001 MHz, 389.42 W, 67, 100 %, 396 MiB
2026/09/23 17:34:27.516, 0, 1710 MHz, 810 MHz, 52.57 W, 38, 28 %, 3178 MiB
2026/09/23 17:34:27.516, 1, 2797 MHz, 14001 MHz, 600.43 W, 67, 100 %, 396 MiB
2026/09/23 17:34:28.526, 0, 1680 MHz, 7001 MHz, 53.43 W, 38, 6 %, 3178 MiB
2026/09/23 17:34:28.526, 1, 2797 MHz, 14001 MHz, 600.12 W, 68, 100 %, 396 MiB
2026/09/23 17:34:29.530, 0, 1657 MHz, 810 MHz, 52.74 W, 38, 6 %, 3209 MiB
2026/09/23 17:34:29.530, 1, 2790 MHz, 14001 MHz, 599.84 W, 68, 100 %, 396 MiB
2026/09/23 17:34:30.546, 0, 1725 MHz, 7001 MHz, 59.25 W, 38, 9 %, 3211 MiB
2026/09/23 17:34:30.546, 1, 2790 MHz, 14001 MHz, 600.32 W, 68, 100 %, 396 MiB
2026/09/23 17:34:31.560, 0, 1230 MHz, 810 MHz, 46.13 W, 38, 2 %, 3185 MiB
2026/09/23 17:34:31.560, 1, 2790 MHz, 14001 MHz, 599.54 W, 68, 100 %, 396 MiB
2026/09/23 17:34:32.567, 0, 990 MHz, 810 MHz, 40.80 W, 37, 11 %, 3185 MiB
2026/09/23 17:34:32.567, 1, 2790 MHz, 14001 MHz, 599.85 W, 68, 100 %, 396 MiB
2026/09/23 17:34:33.570, 0, 855 MHz, 405 MHz, 38.98 W, 37, 8 %, 3185 MiB
2026/09/23 17:34:33.570, 1, 2790 MHz, 14001 MHz, 600.42 W, 68, 100 %, 396 MiB
2026/09/23 17:34:34.572, 0, 1012 MHz, 405 MHz, 40.11 W, 37, 7 %, 3181 MiB
2026/09/23 17:34:34.572, 1, 2790 MHz, 14001 MHz, 599.82 W, 68, 100 %, 396 MiB
2026/09/23 17:34:35.581, 0, 1080 MHz, 810 MHz, 41.35 W, 37, 8 %, 3178 MiB
2026/09/23 17:34:35.581, 1, 2790 MHz, 14001 MHz, 600.07 W, 68, 100 %, 396 MiB
2026/09/23 17:34:36.584, 0, 945 MHz, 405 MHz, 39.51 W, 37, 10 %, 3178 MiB
2026/09/23 17:34:36.584, 1, 2790 MHz, 14001 MHz, 599.88 W, 68, 100 %, 396 MiB
2026/09/23 17:34:37.589, 0, 1372 MHz, 810 MHz, 44.99 W, 38, 31 %, 3178 MiB
2026/09/23 17:34:37.589, 1, 2790 MHz, 14001 MHz, 599.96 W, 68, 100 %, 396 MiB
2026/09/23 17:34:38.592, 0, 1065 MHz, 810 MHz, 41.56 W, 37, 8 %, 3178 MiB
2026/09/23 17:34:38.592, 1, 2790 MHz, 14001 MHz, 600.08 W, 68, 100 %, 396 MiB
2026/09/23 17:34:39.604, 0, 1020 MHz, 405 MHz, 39.80 W, 37, 11 %, 3178 MiB
2026/09/23 17:34:39.604, 1, 2782 MHz, 14001 MHz, 600.21 W, 69, 100 %, 396 MiB
2026/09/23 17:34:40.618, 0, 900 MHz, 405 MHz, 39.12 W, 37, 20 %, 3179 MiB
2026/09/23 17:34:40.618, 1, 2782 MHz, 14001 MHz, 599.69 W, 69, 100 %, 396 MiB
2026/09/23 17:34:41.621, 0, 855 MHz, 405 MHz, 38.56 W, 37, 14 %, 3179 MiB
2026/09/23 17:34:41.621, 1, 2790 MHz, 14001 MHz, 600.13 W, 69, 100 %, 396 MiB
2026/09/23 17:34:42.636, 0, 945 MHz, 405 MHz, 39.52 W, 37, 28 %, 3179 MiB
