size,solver,in_flight,particles,n,fps_mean,fps_std,fps_min,fps_max,us_per_step_mean,mparticle_steps_per_s,sm_mhz,power_w,temp_c,drift_max_abs
1m,v0,1,1046529,3,521.9483,0.11949924685955637,521.8534,522.0825,1915.8988,546.2340324507,2809.842105263158,600.0019298245614,69.0,0
1m,v0,2,1046529,3,545.9421666666667,0.34823012984710755,545.5403,546.155,1831.6963666666668,571.3443097395001,2784.796296296296,599.9872222222222,69.33333333333333,0
1m,v5,1,1046529,3,522.7493333333333,1.439993028918303,521.1133,523.8245,1912.9724333333334,547.0723370640001,2805.877192982456,600.0615789473685,69.0,0
1m,v5,2,1046529,3,548.6510333333333,0.2711611574936818,548.4337,548.9549,1822.6524,574.1792172633,2779.240740740741,599.997037037037,69.0,0
2m,v0,1,2064969,3,267.1947666666667,0.2823863016035408,266.9309,267.4926,3742.591366666667,551.7489101289001,2754.8939393939395,599.9403030303031,69.0,0
2m,v0,2,2064969,3,274.3684333333333,0.5891795849597563,273.9466,275.0416,3644.7454333333335,566.5623094119,2730.6832611832615,599.9763059163059,69.0,0
2m,v5,1,2064969,3,269.68493333333333,0.2958602598074649,269.3592,269.937,3708.0339333333336,556.8910271003999,2751.1666666666665,600.0089393939394,69.0,0
2m,v5,2,2064969,3,277.1118666666667,0.4768640931474576,276.6563,277.6075,3608.6582,572.2274141988,2722.0793650793653,599.9756493506494,69.0,0
4m,v0,1,4182025,3,129.77706666666666,0.10670671643965471,129.7054,129.8997,7705.523566666667,542.7309372266666,2735.0071684587815,600.001193548387,69.33333333333333,0
4m,v0,2,4182025,3,131.80519999999999,0.09718533840040276,131.7199,131.911,7586.957299999999,551.2126415299999,2719.722222222222,600.0391111111111,69.0,0
4m,v5,1,4182025,3,129.88026666666667,0.05920551776086536,129.8206,129.939,7699.4021999999995,543.1625222066667,2727.843010752688,599.9355340501793,69.66666666666667,0
4m,v5,2,4182025,3,132.05236666666667,0.0668298087183791,131.9774,132.1057,7572.7546,552.2462987091667,2713.36091954023,600.0220613026819,69.33333333333333,0
6m,v0,1,6105841,3,93.28989999999999,0.1889896293451067,93.0735,93.4225,10719.302466666666,569.6132963059,2729.463709677419,599.901811155914,69.66666666666667,0
6m,v0,2,6105841,3,94.39446666666667,0.008737467215004962,94.3853,94.4027,10593.842866666666,576.3576047464668,2719.3763440860216,599.9036559139785,69.0,0
6m,v5,1,6105841,3,94.9952,0.2630057603931895,94.7225,95.2473,10526.901899999999,580.0255869632,2719.322580645161,599.9753763440859,69.66666666666667,0
6m,v5,2,6105841,3,96.31703333333333,0.38211930510422243,95.8758,96.5378,10382.487933333332,588.0964911250333,2708.4494623655914,600.0133799283154,69.66666666666667,0
8m,v0,1,8128201,3,69.81966666666666,0.21933500252657318,69.5665,69.9524,14322.700133333332,567.5082844196667,2726.6071428571427,599.9969950738915,69.66666666666667,0
8m,v0,2,8128201,3,70.46616666666667,0.11674610628767991,70.3667,70.5947,14191.231999999998,572.7631663661667,2717.8230706075533,599.9925246305419,69.0,0
8m,v5,1,8128201,3,70.6896,0.12715663569000193,70.6067,70.836,14146.381433333334,574.5792774096,2716.8624338624336,599.9302380952381,70.0,0
8m,v5,2,8128201,3,71.38616666666667,0.2505786569788637,71.1984,71.6707,14008.432633333332,580.2411112861666,2708.75,599.9789285714286,69.66666666666667,0
10m,v0,1,10144225,3,57.40063333333333,0.09856253514055661,57.3133,57.5075,17421.448166666665,582.2849396758334,2725.385714285714,599.9833277310925,70.0,0
10m,v0,2,10144225,3,57.99526666666666,0.04755894588122838,57.9464,58.0414,17242.794833333333,588.3170340016666,2719.774509803922,599.9186274509804,70.0,0
10m,v5,1,10144225,3,58.44896666666667,0.11742748116745638,58.3301,58.5649,17108.98806666667,592.9194688841667,2715.7450980392155,599.9179411764707,70.33333333333333,0
