timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/23 22:45:23.481, 0, 1087 MHz, 810 MHz, 36.94 W, 50, 20 %, 3213 MiB
2026/09/23 22:45:23.488, 1, 28 MHz, 405 MHz, 5.38 W, 44, 0 %, 18 MiB
2026/09/23 22:45:24.498, 0, 124 MHz, 810 MHz, 37.46 W, 50, 14 %, 3213 MiB
2026/09/23 22:45:24.498, 1, 28 MHz, 405 MHz, 5.54 W, 44, 0 %, 18 MiB
2026/09/23 22:45:25.500, 0, 135 MHz, 810 MHz, 40.16 W, 50, 17 %, 3213 MiB
2026/09/23 22:45:25.500, 1, 2857 MHz, 14001 MHz, 216.11 W, 63, 92 %, 396 MiB
2026/09/23 22:45:26.513, 0, 960 MHz, 405 MHz, 40.44 W, 50, 29 %, 3213 MiB
2026/09/23 22:45:26.513, 1, 2835 MHz, 14001 MHz, 600.71 W, 64, 94 %, 396 MiB
2026/09/23 22:45:27.514, 0, 1012 MHz, 810 MHz, 41.01 W, 50, 27 %, 3213 MiB
2026/09/23 22:45:27.514, 1, 2827 MHz, 14001 MHz, 600.50 W, 65, 94 %, 396 MiB
2026/09/23 22:45:28.529, 0, 1020 MHz, 405 MHz, 38.01 W, 51, 17 %, 3213 MiB
2026/09/23 22:45:28.529, 1, 2827 MHz, 14001 MHz, 600.03 W, 65, 94 %, 396 MiB
2026/09/23 22:45:29.530, 0, 129 MHz, 405 MHz, 37.44 W, 51, 28 %, 3213 MiB
2026/09/23 22:45:29.530, 1, 2820 MHz, 14001 MHz, 600.13 W, 66, 95 %, 396 MiB
2026/09/23 22:45:30.532, 0, 1095 MHz, 810 MHz, 38.19 W, 51, 26 %, 3213 MiB
2026/09/23 22:45:30.532, 1, 2820 MHz, 14001 MHz, 600.00 W, 66, 94 %, 396 MiB
2026/09/23 22:45:31.547, 0, 1200 MHz, 810 MHz, 37.33 W, 51, 14 %, 3213 MiB
2026/09/23 22:45:31.547, 1, 2820 MHz, 14001 MHz, 600.01 W, 66, 95 %, 396 MiB
2026/09/23 22:45:32.561, 0, 832 MHz, 405 MHz, 36.70 W, 51, 11 %, 3213 MiB
2026/09/23 22:45:32.561, 1, 2820 MHz, 14001 MHz, 598.92 W, 67, 95 %, 396 MiB
2026/09/23 22:45:33.576, 0, 727 MHz, 405 MHz, 34.38 W, 50, 21 %, 3213 MiB
2026/09/23 22:45:33.576, 1, 2820 MHz, 14001 MHz, 601.24 W, 67, 95 %, 396 MiB
2026/09/23 22:45:34.590, 0, 757 MHz, 405 MHz, 35.81 W, 50, 27 %, 3213 MiB
2026/09/23 22:45:34.590, 1, 2820 MHz, 14001 MHz, 599.69 W, 68, 95 %, 396 MiB
2026/09/23 22:45:35.605, 0, 570 MHz, 405 MHz, 32.89 W, 50, 14 %, 3213 MiB
