timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/24 15:49:54.925, 0, 2580 MHz, 14001 MHz, 74.97 W, 55, 0 %, 3126 MiB
2026/09/24 15:49:54.928, 1, 2572 MHz, 14001 MHz, 56.28 W, 43, 0 %, 18 MiB
2026/09/24 15:49:55.940, 0, 615 MHz, 810 MHz, 61.32 W, 54, 1 %, 3126 MiB
2026/09/24 15:49:55.940, 1, 321 MHz, 14001 MHz, 57.80 W, 43, 0 %, 18 MiB
2026/09/24 15:49:56.942, 0, 487 MHz, 810 MHz, 37.72 W, 53, 1 %, 3128 MiB
2026/09/24 15:49:56.942, 1, 1822 MHz, 14001 MHz, 36.04 W, 43, 30 %, 2758 MiB
2026/09/24 15:49:57.945, 0, 540 MHz, 405 MHz, 37.16 W, 53, 4 %, 3203 MiB
2026/09/24 15:49:57.945, 1, 2782 MHz, 14001 MHz, 602.32 W, 61, 98 %, 2758 MiB
2026/09/24 15:49:58.950, 0, 495 MHz, 405 MHz, 41.42 W, 53, 1 %, 3203 MiB
2026/09/24 15:49:58.950, 1, 2782 MHz, 14001 MHz, 599.76 W, 61, 98 %, 2758 MiB
2026/09/24 15:49:59.950, 0, 375 MHz, 405 MHz, 36.66 W, 54, 2 %, 3170 MiB
2026/09/24 15:49:59.950, 1, 2775 MHz, 14001 MHz, 600.50 W, 62, 99 %, 2758 MiB
2026/09/24 15:50:00.965, 0, 57 MHz, 405 MHz, 35.85 W, 53, 2 %, 3155 MiB
2026/09/24 15:50:00.965, 1, 2767 MHz, 14001 MHz, 600.09 W, 63, 99 %, 2758 MiB
2026/09/24 15:50:01.967, 0, 435 MHz, 405 MHz, 35.25 W, 53, 1 %, 3137 MiB
2026/09/24 15:50:01.967, 1, 2760 MHz, 14001 MHz, 600.14 W, 63, 99 %, 2758 MiB
2026/09/24 15:50:02.971, 0, 307 MHz, 405 MHz, 35.31 W, 54, 0 %, 3137 MiB
2026/09/24 15:50:02.971, 1, 2760 MHz, 14001 MHz, 599.83 W, 63, 99 %, 2758 MiB
2026/09/24 15:50:03.974, 0, 480 MHz, 405 MHz, 34.44 W, 54, 2 %, 3126 MiB
2026/09/24 15:50:03.974, 1, 2760 MHz, 14001 MHz, 599.90 W, 64, 98 %, 2758 MiB
2026/09/24 15:50:04.981, 0, 472 MHz, 405 MHz, 36.14 W, 53, 2 %, 3096 MiB
2026/09/24 15:50:04.981, 1, 2760 MHz, 14001 MHz, 600.25 W, 65, 99 %, 2758 MiB
2026/09/24 15:50:05.985, 0, 420 MHz, 405 MHz, 39.08 W, 53, 2 %, 3096 MiB
2026/09/24 15:50:05.985, 1, 2752 MHz, 14001 MHz, 600.15 W, 65, 99 %, 2758 MiB
2026/09/24 15:50:06.992, 0, 37 MHz, 405 MHz, 31.71 W, 53, 0 %, 3096 MiB
2026/09/24 15:50:06.992, 1, 2752 MHz, 14001 MHz, 600.12 W, 66, 99 %, 2758 MiB
2026/09/24 15:50:07.997, 0, 442 MHz, 405 MHz, 35.33 W, 53, 2 %, 3129 MiB
2026/09/24 15:50:07.997, 1, 2752 MHz, 14001 MHz, 599.85 W, 66, 98 %, 2758 MiB
2026/09/24 15:50:09.002, 0, 427 MHz, 405 MHz, 41.28 W, 53, 0 %, 3142 MiB
2026/09/24 15:50:09.002, 1, 2745 MHz, 14001 MHz, 600.10 W, 66, 99 %, 2758 MiB
2026/09/24 15:50:10.008, 0, 450 MHz, 405 MHz, 41.16 W, 53, 1 %, 3142 MiB
2026/09/24 15:50:10.008, 1, 2745 MHz, 14001 MHz, 600.02 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:11.012, 0, 472 MHz, 405 MHz, 41.10 W, 54, 1 %, 3134 MiB
2026/09/24 15:50:11.012, 1, 2745 MHz, 14001 MHz, 600.07 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:12.015, 0, 457 MHz, 405 MHz, 40.66 W, 53, 1 %, 3125 MiB
2026/09/24 15:50:12.015, 1, 2745 MHz, 14001 MHz, 600.02 W, 66, 99 %, 2758 MiB
2026/09/24 15:50:13.024, 0, 442 MHz, 405 MHz, 40.77 W, 53, 0 %, 3118 MiB
2026/09/24 15:50:13.024, 1, 2745 MHz, 14001 MHz, 600.07 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:14.038, 0, 495 MHz, 405 MHz, 42.21 W, 54, 1 %, 3107 MiB
2026/09/24 15:50:14.038, 1, 2745 MHz, 14001 MHz, 599.82 W, 67, 98 %, 2758 MiB
2026/09/24 15:50:15.041, 0, 472 MHz, 405 MHz, 41.26 W, 54, 1 %, 3107 MiB
2026/09/24 15:50:15.041, 1, 2745 MHz, 14001 MHz, 599.82 W, 66, 98 %, 2758 MiB
2026/09/24 15:50:16.043, 0, 517 MHz, 405 MHz, 41.36 W, 54, 1 %, 3106 MiB
2026/09/24 15:50:16.043, 1, 2745 MHz, 14001 MHz, 600.05 W, 66, 99 %, 2758 MiB
2026/09/24 15:50:17.050, 0, 435 MHz, 405 MHz, 40.72 W, 54, 1 %, 3106 MiB
2026/09/24 15:50:17.050, 1, 2745 MHz, 14001 MHz, 600.20 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:18.064, 0, 435 MHz, 405 MHz, 41.14 W, 54, 0 %, 3106 MiB
2026/09/24 15:50:18.064, 1, 2737 MHz, 14001 MHz, 599.92 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:19.067, 0, 457 MHz, 405 MHz, 41.56 W, 54, 1 %, 3107 MiB
2026/09/24 15:50:19.067, 1, 2745 MHz, 14001 MHz, 600.11 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:20.074, 0, 435 MHz, 405 MHz, 41.08 W, 54, 0 %, 3115 MiB
2026/09/24 15:50:20.074, 1, 2737 MHz, 14001 MHz, 600.07 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:21.077, 0, 412 MHz, 405 MHz, 41.47 W, 53, 0 %, 3117 MiB
2026/09/24 15:50:21.077, 1, 2737 MHz, 14001 MHz, 599.89 W, 67, 98 %, 2758 MiB
2026/09/24 15:50:22.085, 0, 450 MHz, 405 MHz, 40.53 W, 54, 1 %, 3117 MiB
2026/09/24 15:50:22.085, 1, 2737 MHz, 14001 MHz, 600.05 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:23.087, 0, 412 MHz, 405 MHz, 40.70 W, 53, 0 %, 3117 MiB
2026/09/24 15:50:23.087, 1, 2737 MHz, 14001 MHz, 600.04 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:24.102, 0, 450 MHz, 405 MHz, 40.99 W, 53, 0 %, 3114 MiB
2026/09/24 15:50:24.102, 1, 2737 MHz, 14001 MHz, 599.62 W, 67, 98 %, 2758 MiB
2026/09/24 15:50:25.117, 0, 495 MHz, 405 MHz, 41.63 W, 54, 1 %, 3112 MiB
2026/09/24 15:50:25.117, 1, 2737 MHz, 14001 MHz, 600.19 W, 67, 99 %, 2758 MiB
2026/09/24 15:50:26.131, 0, 525 MHz, 405 MHz, 41.17 W, 54, 1 %, 3112 MiB
2026/09/24 15:50:26.131, 1, 2745 MHz, 14001 MHz, 600.01 W, 68, 99 %, 2758 MiB
