timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/24 16:05:21.948, 0, 382 MHz, 405 MHz, 34.34 W, 51, 1 %, 3235 MiB
2026/09/24 16:05:21.950, 1, 28 MHz, 405 MHz, 9.41 W, 46, 0 %, 18 MiB
2026/09/24 16:05:22.967, 0, 63 MHz, 405 MHz, 32.42 W, 51, 3 %, 3235 MiB
2026/09/24 16:05:22.967, 1, 28 MHz, 405 MHz, 9.58 W, 46, 0 %, 18 MiB
2026/09/24 16:05:23.970, 0, 53 MHz, 405 MHz, 28.75 W, 51, 1 %, 3235 MiB
2026/09/24 16:05:23.970, 1, 2572 MHz, 14001 MHz, 27.03 W, 47, 0 %, 2757 MiB
2026/09/24 16:05:24.977, 0, 547 MHz, 405 MHz, 35.27 W, 51, 3 %, 3235 MiB
2026/09/24 16:05:24.977, 1, 2572 MHz, 14001 MHz, 64.22 W, 47, 0 %, 2757 MiB
2026/09/24 16:05:25.984, 0, 49 MHz, 405 MHz, 35.24 W, 51, 1 %, 3223 MiB
2026/09/24 16:05:25.984, 1, 2842 MHz, 14001 MHz, 245.45 W, 62, 100 %, 2757 MiB
2026/09/24 16:05:26.986, 0, 480 MHz, 405 MHz, 34.32 W, 51, 2 %, 3223 MiB
2026/09/24 16:05:26.986, 1, 2835 MHz, 14001 MHz, 600.19 W, 63, 100 %, 2757 MiB
2026/09/24 16:05:27.991, 0, 47 MHz, 405 MHz, 29.02 W, 51, 2 %, 3223 MiB
2026/09/24 16:05:27.991, 1, 2835 MHz, 14001 MHz, 600.00 W, 64, 100 %, 2757 MiB
2026/09/24 16:05:28.997, 0, 442 MHz, 405 MHz, 30.30 W, 51, 1 %, 3226 MiB
2026/09/24 16:05:28.997, 1, 2835 MHz, 14001 MHz, 599.99 W, 65, 100 %, 2757 MiB
2026/09/24 16:05:30.003, 0, 367 MHz, 405 MHz, 35.04 W, 51, 1 %, 3226 MiB
2026/09/24 16:05:30.003, 1, 2835 MHz, 14001 MHz, 600.04 W, 66, 100 %, 2757 MiB
2026/09/24 16:05:31.008, 0, 59 MHz, 405 MHz, 34.25 W, 51, 2 %, 3226 MiB
2026/09/24 16:05:31.008, 1, 2835 MHz, 14001 MHz, 600.00 W, 65, 100 %, 2757 MiB
2026/09/24 16:05:32.023, 0, 46 MHz, 405 MHz, 25.93 W, 51, 1 %, 3226 MiB
2026/09/24 16:05:32.023, 1, 2827 MHz, 14001 MHz, 600.03 W, 66, 100 %, 2757 MiB
2026/09/24 16:05:33.025, 0, 54 MHz, 405 MHz, 29.66 W, 51, 2 %, 3225 MiB
2026/09/24 16:05:33.025, 1, 2827 MHz, 14001 MHz, 599.94 W, 67, 100 %, 2757 MiB
2026/09/24 16:05:34.038, 0, 465 MHz, 405 MHz, 31.33 W, 51, 2 %, 3225 MiB
2026/09/24 16:05:34.038, 1, 2827 MHz, 14001 MHz, 599.97 W, 67, 100 %, 2757 MiB
2026/09/24 16:05:35.038, 0, 360 MHz, 405 MHz, 33.92 W, 51, 1 %, 3226 MiB
2026/09/24 16:05:35.038, 1, 2827 MHz, 14001 MHz, 600.01 W, 67, 100 %, 2757 MiB
2026/09/24 16:05:36.053, 0, 367 MHz, 405 MHz, 29.86 W, 51, 1 %, 3226 MiB
