frame_n,frame_total_us,gpu_a_predict_us,gpu_a_update_voxel_us,gpu_a_ghost_send_leading_us,gpu_a_ghost_send_leading_dispatch_us,gpu_a_ghost_send_leading_readback_us,gpu_a_ghost_send_leading_host_barrier_us,gpu_a_ghost_send_trailing_us,gpu_a_ghost_send_trailing_dispatch_us,gpu_a_ghost_send_trailing_readback_us,gpu_a_ghost_send_trailing_host_barrier_us,gpu_a_phase_a_us,gpu_a_a_to_b_gap_us,gpu_a_correction_interior_us,gpu_a_density_deep_interior_us,gpu_a_phase_b_us,gpu_a_b_to_c_gap_us,gpu_a_install_leading_us,gpu_a_install_leading_upload_us,gpu_a_install_leading_dispatch_us,gpu_a_install_trailing_us,gpu_a_install_trailing_upload_us,gpu_a_install_trailing_dispatch_us,gpu_a_correction_boundary_us,gpu_a_density_us,gpu_a_force_us,gpu_a_phase_c_us,gpu_a_defrag_us,gpu_a_readback_leading_dma_us,gpu_a_readback_leading_barrier_us,gpu_a_readback_leading_sched_gap_us,gpu_a_upload_leading_dma_us,gpu_a_upload_leading_to_c_gap_us,gpu_a_readback_trailing_dma_us,gpu_a_readback_trailing_barrier_us,gpu_a_readback_trailing_sched_gap_us,gpu_a_upload_trailing_dma_us,gpu_a_upload_trailing_to_c_gap_us,gpu_b_predict_us,gpu_b_update_voxel_us,gpu_b_ghost_send_leading_us,gpu_b_ghost_send_leading_dispatch_us,gpu_b_ghost_send_leading_readback_us,gpu_b_ghost_send_leading_host_barrier_us,gpu_b_ghost_send_trailing_us,gpu_b_ghost_send_trailing_dispatch_us,gpu_b_ghost_send_trailing_readback_us,gpu_b_ghost_send_trailing_host_barrier_us,gpu_b_phase_a_us,gpu_b_a_to_b_gap_us,gpu_b_correction_interior_us,gpu_b_density_deep_interior_us,gpu_b_phase_b_us,gpu_b_b_to_c_gap_us,gpu_b_install_leading_us,gpu_b_install_leading_upload_us,gpu_b_install_leading_dispatch_us,gpu_b_install_trailing_us,gpu_b_install_trailing_upload_us,gpu_b_install_trailing_dispatch_us,gpu_b_correction_boundary_us,gpu_b_density_us,gpu_b_force_us,gpu_b_phase_c_us,gpu_b_defrag_us,gpu_b_readback_leading_dma_us,gpu_b_readback_leading_barrier_us,gpu_b_readback_leading_sched_gap_us,gpu_b_upload_leading_dma_us,gpu_b_upload_leading_to_c_gap_us,gpu_b_readback_trailing_dma_us,gpu_b_readback_trailing_barrier_us,gpu_b_readback_trailing_sched_gap_us,gpu_b_upload_trailing_dma_us,gpu_b_upload_trailing_to_c_gap_us,worker_a_to_b_memcpy_us,worker_a_to_b_wait_us,worker_b_to_a_memcpy_us,worker_b_to_a_wait_us
5001,8489.500,249.856,120.832,,,,,104.704,,,,475.392,4.608,1889.536,2714.624,4604.160,8.448,,,,7.936,,,159.744,284.672,2713.600,3165.952,,,,,,,385.536,1.536,74.752,621.824,1651.712,254.464,121.088,103.936,,,,,,,,479.488,9.984,1924.608,2019.328,3943.936,4.864,5.376,,,,,,147.456,284.672,2772.736,3210.240,,380.928,1.280,110.080,627.968,1307.904,,,,,,1366.300,1436.600,1401.800,1464.600
5002,7778.700,231.936,120.832,,,,,104.192,,,,456.960,3.840,1888.512,2002.432,3890.944,5.120,,,,7.680,,,157.696,282.624,2744.320,3192.320,,,,,,,593.920,0.768,41.728,508.928,1276.416,235.008,122.880,106.240,,,,,,,,464.128,6.912,1917.440,2010.368,3927.808,4.864,4.096,,,,,,145.408,276.480,2750.208,3176.192,,592.640,1.280,49.920,506.112,1279.744,,,,,,1294.700,1338.900,1292.400,1311.700
5003,8425.400,230.656,122.880,,,,,104.192,,,,457.728,4.352,2544.896,1999.616,4544.512,4.864,,,,9.216,,,161.792,278.528,2767.872,3217.408,,,,,,,329.472,0.768,63.232,413.952,1800.960,234.496,126.976,106.240,,,,,,,,467.712,5.632,1915.648,2010.880,3926.528,4.864,5.632,,,,,,151.552,274.432,2748.160,3179.776,,326.400,1.280,243.456,421.120,1570.048,,,,,,1281.900,1297.400,1296.000,1359.500
5004,7912.900,230.144,123.136,,,,,102.144,,,,455.424,4.352,1878.784,2011.392,3890.176,4.608,,,,5.376,,,159.744,278.528,2770.944,3214.592,,,,,,,423.680,0.768,48.640,684.288,947.712,233.984,128.000,105.216,,,,,,,,467.200,8.960,1913.344,2019.072,3932.416,4.864,5.632,,,,,,151.552,274.432,2752.256,3183.872,,414.720,1.280,86.272,702.208,1270.528,,,,,,1325.500,1332.300,1439.500,1307.700
5005,8752.600,230.144,125.440,,,,,101.888,,,,457.472,4.096,1883.136,2635.008,4518.144,4.864,,,,8.192,,,155.648,282.624,3091.456,3537.920,,,,,,,427.776,1.024,40.704,737.792,1350.656,231.424,119.040,105.984,,,,,,,,456.448,8.704,1909.504,2017.024,3926.528,5.120,9.472,,,,,,151.552,276.480,2754.304,3191.808,,430.336,1.024,70.656,751.360,1045.760,,,,,,1550.600,1294.200,1577.500,1381.100
5006,7886.700,231.168,119.040,,,,,102.144,,,,452.352,4.096,1884.160,2013.696,3897.856,4.864,,,,3.840,,,157.696,282.624,2784.256,3228.416,,,,,,,494.592,1.024,49.152,707.328,928.256,232.448,120.832,106.240,,,,,,,,459.520,5.120,1915.136,2014.208,3929.344,5.120,4.096,,,,,,147.456,270.336,2760.448,3182.336,,490.240,1.280,67.840,709.888,1188.864,,,,,,1315.800,1357.200,1358.800,1377.400
5007,8726.700,231.680,120.832,,,,,102.144,,,,454.656,4.352,1876.736,2577.408,4454.144,8.704,,,,7.680,,,161.792,286.720,3135.488,3591.680,,,,,,,700.160,1.024,64.256,736.000,836.864,232.704,120.832,106.240,,,,,,,,459.776,5.632,1915.648,2023.424,3939.072,4.864,7.424,,,,,,149.504,274.432,2762.496,3193.856,,703.744,1.280,60.416,748.288,471.552,,,,,,1705.900,1540.100,1775.300,1566.000
5008,8495.200,232.192,125.184,,,,,102.144,,,,459.520,3.840,2430.208,2012.160,4442.368,4.608,,,,7.680,,,157.696,449.536,2791.424,3406.336,,,,,,,531.968,1.024,57.088,608.000,1373.952,232.960,120.832,105.984,,,,,,,,459.776,4.864,1915.392,2015.232,3930.624,5.120,4.096,,,,,,151.552,270.336,2769.664,3195.648,,710.144,1.280,52.224,608.256,1100.800,,,,,,1373.900,1534.800,1355.300,1590.000
5009,8332.400,230.400,125.184,,,,,343.040,,,,698.624,6.400,2182.656,2007.808,4190.464,4.608,,,,7.936,,,161.792,284.672,2785.280,3239.680,,,,,,,660.736,1.024,175.616,591.360,1123.328,233.216,120.832,106.240,,,,,,,,460.288,4.096,1917.184,2023.168,3940.352,5.376,5.120,,,,,,149.504,276.480,2768.640,3199.744,,652.288,1.536,51.968,601.088,691.200,,,,,,1532.900,1728.500,1537.200,1673.200
5010,7860.200,230.400,120.832,,,,,104.192,,,,455.424,3.840,1890.560,2011.392,3901.952,4.608,,,,5.376,,,155.648,284.672,2781.184,3226.880,,,,,,,499.456,0.768,41.728,555.264,1298.688,233.472,120.832,104.192,,,,,,,,458.496,4.608,1912.576,2017.024,3929.600,5.120,5.376,,,,,,149.504,272.384,2778.880,3206.144,,499.200,1.280,47.360,538.880,1342.464,,,,,,1342.100,1255.300,1258.700,1282.200
